index,color,pieces
0,black,1
0,black,2
0,black,3
0,black,4
0,black,5
0,black,6
0,white,1
0,white,2
0,white,3
0,white,4
0,white,5
0,white,6
1,black,1
1,black,2
1,black,3
1,black,4
1,black,5
1,black,6
1,white,1
1,white,2
1,white,3
1,white,4
1,white,5
1,white,6
2,black,1
2,black,2
2,black,3
2,black,4
2,black,5
2,black,6
2,white,1
2,white,2
2,white,3
2,white,4
2,white,5
2,white,6
3,black,1
3,black,2
3,black,3
3,black,4
3,black,5
3,black,6
3,white,1
3,white,2
3,white,3
3,white,4
3,white,5
3,white,6
4,black,1
4,black,2
4,black,3
4,black,4
4,black,5
4,black,6
4,white,1
4,white,2
4,white,3
4,white,4
4,white,5
4,white,6
5,black,1
5,black,2
5,black,3
5,black,4
5,black,5
5,black,6
5,white,1
5,white,2
5,white,3
5,white,4
5,white,5
5,white,6
6,black,1
6,black,2
6,black,3
6,black,4
6,black,5
6,black,6
6,white,1
6,white,2
6,white,3
6,white,4
6,white,5
6,white,6
7,black,1
7,black,2
7,black,3
7,black,4
7,black,5
7,black,6
7,white,1
7,white,2
7,white,3
7,white,4
7,white,5
7,white,6
8,black,1
8,black,2
8,black,3
8,black,4
8,black,5
8,black,6
8,white,1
8,white,2
8,white,3
8,white,4
8,white,5
8,white,6
9,black,1
9,black,2
9,black,3
9,black,4
9,black,5
9,black,6
9,white,1
9,white,2
9,white,3
9,white,4
9,white,5
9,white,6
10,black,1
10,black,2
10,black,3
10,black,4
10,black,5
10,black,6
10,white,1
10,white,2
10,white,3
10,white,4
10,white,5
10,white,6
11,black,1
11,black,2
11,black,3
11,black,4
11,black,5
11,black,6
11,white,1
11,white,2
11,white,3
11,white,4
11,white,5
11,white,6
12,black,1
12,black,2
12,black,3
12,black,4
12,black,5
12,black,6
12,white,1
12,white,2
12,white,3
12,white,4
12,white,5
12,white,6
13,black,1
13,black,2
13,black,3
13,black,4
13,black,5
13,black,6
13,white,1
13,white,2
13,white,3
13,white,4
13,white,5
13,white,6
14,black,1
14,black,2
14,black,3
14,black,4
14,black,5
14,black,6
14,white,1
14,white,2
14,white,3
14,white,4
14,white,5
14,white,6
15,black,1
15,black,2
15,black,3
15,black,4
15,black,5
15,black,6
15,white,1
15,white,2
15,white,3
15,white,4
15,white,5
15,white,6
16,black,1
16,black,2
16,black,3
16,black,4
16,black,5
16,black,6
16,white,1
16,white,2
16,white,3
16,white,4
16,white,5
16,white,6
17,black,1
17,black,2
17,black,3
17,black,4
17,black,5
17,black,6
17,white,1
17,white,2
17,white,3
17,white,4
17,white,5
17,white,6
18,black,1
18,black,2
18,black,3
18,black,4
18,black,5
18,black,6
18,white,1
18,white,2
18,white,3
18,white,4
18,white,5
18,white,6
19,black,1
19,black,2
19,black,3
19,black,4
19,black,5
19,black,6
19,white,1
19,white,2
19,white,3
19,white,4
19,white,5
19,white,6
20,black,1
20,black,2
20,black,3
20,black,4
20,black,5
20,black,6
20,white,1
20,white,2
20,white,3
20,white,4
20,white,5
20,white,6
21,black,1
21,black,2
21,black,3
21,black,4
21,black,5
21,black,6
21,white,1
21,white,2
21,white,3
21,white,4
21,white,5
21,white,6
22,black,1
22,black,2
22,black,3
22,black,4
22,black,5
22,black,6
22,white,1
22,white,2
22,white,3
22,white,4
22,white,5
22,white,6
23,black,1
23,black,2
23,black,3
23,black,4
23,black,5
23,black,6
23,white,1
23,white,2
23,white,3
23,white,4
23,white,5
23,white,6
24,black,1
24,black,2
24,black,3
24,black,4
24,black,5
24,black,6
24,white,1
24,white,2
24,white,3
24,white,4
24,white,5
24,white,6
25,black,1
25,black,2
25,black,3
25,black,4
25,black,5
25,black,6
25,white,1
25,white,2
25,white,3
25,white,4
25,white,5
25,white,6
26,black,1
26,black,2
26,black,3
26,black,4
26,black,5
26,black,6
26,white,1
26,white,2
26,white,3
26,white,4
26,white,5
26,white,6
27,black,1
27,black,2
27,black,3
27,black,4
27,black,5
27,black,6
27,white,1
27,white,2
27,white,3
27,white,4
27,white,5
27,white,6
28,black,1
28,black,2
28,black,3
28,black,4
28,black,5
28,black,6
28,white,1
28,white,2
28,white,3
28,white,4
28,white,5
28,white,6
29,black,1
29,black,2
29,black,3
29,black,4
29,black,5
29,black,6
29,white,1
29,white,2
29,white,3
29,white,4
29,white,5
29,white,6
30,black,1
30,black,2
30,black,3
30,black,4
30,black,5
30,black,6
30,white,1
30,white,2
30,white,3
30,white,4
30,white,5
30,white,6
31,black,1
31,black,2
31,black,3
31,black,4
31,black,5
31,black,6
31,white,1
31,white,2
31,white,3
31,white,4
31,white,5
31,white,6
32,black,1
32,black,2
32,black,3
32,black,4
32,black,5
32,black,6
32,white,1
32,white,2
32,white,3
32,white,4
32,white,5
32,white,6
33,black,1
33,black,2
33,black,3
33,black,4
33,black,5
33,black,6
33,white,1
33,white,2
33,white,3
33,white,4
33,white,5
33,white,6
34,black,1
34,black,2
34,black,3
34,black,4
34,black,5
34,black,6
34,white,1
34,white,2
34,white,3
34,white,4
34,white,5
34,white,6
35,black,1
35,black,2
35,black,3
35,black,4
35,black,5
35,black,6
35,white,1
35,white,2
35,white,3
35,white,4
35,white,5
35,white,6
36,black,1
36,black,2
36,black,3
36,black,4
36,black,5
36,black,6
36,white,1
36,white,2
36,white,3
36,white,4
36,white,5
36,white,6
37,black,1
37,black,2
37,black,3
37,black,4
37,black,5
37,black,6
37,white,1
37,white,2
37,white,3
37,white,4
37,white,5
37,white,6
38,black,1
38,black,2
38,black,3
38,black,4
38,black,5
38,black,6
38,white,1
38,white,2
38,white,3
38,white,4
38,white,5
38,white,6
39,black,1
39,black,2
39,black,3
39,black,4
39,black,5
39,black,6
39,white,1
39,white,2
39,white,3
39,white,4
39,white,5
39,white,6
40,black,1
40,black,2
40,black,3
40,black,4
40,black,5
40,black,6
40,white,1
40,white,2
40,white,3
40,white,4
40,white,5
40,white,6
41,black,1
41,black,2
41,black,3
41,black,4
41,black,5
41,black,6
41,white,1
41,white,2
41,white,3
41,white,4
41,white,5
41,white,6
42,black,1
42,black,2
42,black,3
42,black,4
42,black,5
42,black,6
42,white,1
42,white,2
42,white,3
42,white,4
42,white,5
42,white,6
43,black,1
43,black,2
43,black,3
43,black,4
43,black,5
43,black,6
43,white,1
43,white,2
43,white,3
43,white,4
43,white,5
43,white,6
44,black,1
44,black,2
44,black,3
44,black,4
44,black,5
44,black,6
44,white,1
44,white,2
44,white,3
44,white,4
44,white,5
44,white,6
45,black,1
45,black,2
45,black,3
45,black,4
45,black,5
45,black,6
45,white,1
45,white,2
45,white,3
45,white,4
45,white,5
45,white,6
46,black,1
46,black,2
46,black,3
46,black,4
46,black,5
46,black,6
46,white,1
46,white,2
46,white,3
46,white,4
46,white,5
46,white,6
47,black,1
47,black,2
47,black,3
47,black,4
47,black,5
47,black,6
47,white,1
47,white,2
47,white,3
47,white,4
47,white,5
47,white,6
48,black,1
48,black,2
48,black,3
48,black,4
48,black,5
48,black,6
48,white,1
48,white,2
48,white,3
48,white,4
48,white,5
48,white,6
49,black,1
49,black,2
49,black,3
49,black,4
49,black,5
49,black,6
49,white,1
49,white,2
49,white,3
49,white,4
49,white,5
49,white,6
50,black,1
50,black,2
50,black,3
50,black,4
50,black,5
50,black,6
50,white,1
50,white,2
50,white,3
50,white,4
50,white,5
50,white,6
51,black,1
51,black,2
51,black,3
51,black,4
51,black,5
51,black,6
51,white,1
51,white,2
51,white,3
51,white,4
51,white,5
51,white,6
52,black,1
52,black,2
52,black,3
52,black,4
52,black,5
52,black,6
52,white,1
52,white,2
52,white,3
52,white,4
52,white,5
52,white,6
53,black,1
53,black,2
53,black,3
53,black,4
53,black,5
53,black,6
53,white,1
53,white,2
53,white,3
53,white,4
53,white,5
53,white,6
54,black,1
54,black,2
54,black,3
54,black,4
54,black,5
54,black,6
54,white,1
54,white,2
54,white,3
54,white,4
54,white,5
54,white,6
55,black,1
55,black,2
55,black,3
55,black,4
55,black,5
55,black,6
55,white,1
55,white,2
55,white,3
55,white,4
55,white,5
55,white,6
56,black,1
56,black,2
56,black,3
56,black,4
56,black,5
56,black,6
56,white,1
56,white,2
56,white,3
56,white,4
56,white,5
56,white,6
57,black,1
57,black,2
57,black,3
57,black,4
57,black,5
57,black,6
57,white,1
57,white,2
57,white,3
57,white,4
57,white,5
57,white,6
58,black,1
58,black,2
58,black,3
58,black,4
58,black,5
58,black,6
58,white,1
58,white,2
58,white,3
58,white,4
58,white,5
58,white,6
59,black,1
59,black,2
59,black,3
59,black,4
59,black,5
59,black,6
59,white,1
59,white,2
59,white,3
59,white,4
59,white,5
59,white,6
60,black,1
60,black,2
60,black,3
60,black,4
60,black,5
60,black,6
60,white,1
60,white,2
60,white,3
60,white,4
60,white,5
60,white,6
61,black,1
61,black,2
61,black,3
61,black,4
61,black,5
61,black,6
61,white,1
61,white,2
61,white,3
61,white,4
61,white,5
61,white,6
62,black,1
62,black,2
62,black,3
62,black,4
62,black,5
62,black,6
62,white,1
62,white,2
62,white,3
62,white,4
62,white,5
62,white,6
63,black,1
63,black,2
63,black,3
63,black,4
63,black,5
63,black,6
63,white,1
63,white,2
63,white,3
63,white,4
63,white,5
63,white,6
0,free,0
1,free,0
2,free,0
3,free,0
4,free,0
5,free,0
6,free,0
7,free,0
8,free,0
9,free,0
10,free,0
11,free,0
12,free,0
13,free,0
14,free,0
15,free,0
16,free,0
17,free,0
18,free,0
19,free,0
20,free,0
21,free,0
22,free,0
23,free,0
24,free,0
25,free,0
26,free,0
27,free,0
28,free,0
29,free,0
30,free,0
31,free,0
32,free,0
33,free,0
34,free,0
35,free,0
36,free,0
37,free,0
38,free,0
39,free,0
40,free,0
41,free,0
42,free,0
43,free,0
44,free,0
45,free,0
46,free,0
47,free,0
48,free,0
49,free,0
50,free,0
51,free,0
52,free,0
53,free,0
54,free,0
55,free,0
56,free,0
57,free,0
58,free,0
59,free,0
60,free,0
61,free,0
62,free,0
63,free,0
